130000,Wed 03:00 05:00 FTTTTT,SouthWest,R
130000,Fri 03:00 05:00 FTTTTT,SouthWest,R
130000,Tue 03:00 05:00 FTTTTT,SouthWest,R
130000,Thu 03:00 05:00 FTTTTT,SouthWest,R
131000,Mon 03:00 05:00 FTTTTT,SouthWest,R
131000,Wed 03:00 05:00 FTTTTT,SouthWest,R
131000,Fri 03:00 05:00 FTTTTT,SouthWest,R
131000,Tue 03:00 05:00 FTTTTT,SouthWest,R
131000,Thu 03:00 05:00 FTTTTT,SouthWest,R
132000,Mon 03:00 05:00 FTTTTT,SouthWest,R
132000,Wed 03:00 05:00 FTTTTT,SouthWest,R
132000,Fri 03:00 05:00 FTTTTT,SouthWest,R
132000,Tue 03:00 05:00 FTTTTT,SouthWest,R
132000,Thu 03:00 05:00 FTTTTT,SouthWest,R
133000,Mon 03:00 05:00 FTTTTT,SouthWest,R
133000,Wed 03:00 05:00 FTTTTT,SouthWest,R
133000,Fri 03:00 05:00 FTTTTT,SouthWest,R
133000,Tue 03:00 05:00 FTTTTT,SouthWest,R
133000,Thu 03:00 05:00 FTTTTT,SouthWest,R
134000,Mon 03:00 05:00 FTTTTT,SouthWest,R
134000,Wed 03:00 05:00 FTTTTT,SouthWest,R
134000,Fri 03:00 05:00 FTTTTT,SouthWest,R
134000,Tue 03:00 05:00 FTTTTT,SouthWest,R
134000,Thu 03:00 05:00 FTTTTT,SouthWest,R
135000,Tue 00:00 02:00 FTTTTT,NorthEast,L
135000,Thu 00:00 02:00 FTTTTT,NorthEast,L
135000,Mon 00:00 02:00 FTTTTT,SouthWest,R
135000,Wed 00:00 02:00 FTTTTT,SouthWest,R
135000,Fri 00:00 02:00 FTTTTT,SouthWest,R
136000,Tue 00:00 02:00 FTTTTT,NorthEast,L
136000,Thu 00:00 02:00 FTTTTT,NorthEast,L
136000,Mon 00:00 02:00 FTTTTT,SouthWest,R
136000,Wed 00:00 02:00 FTTTTT,SouthWest,R
136000,Fri 00:00 02:00 FTTTTT,SouthWest,R
137000,Tue 00:00 02:00 FTTTTT,NorthEast,L
137000,Thu 00:00 02:00 FTTTTT,NorthEast,L
137000,Mon 00:00 02:00 FTTTTT,SouthWest,R
137000,Wed 00:00 02:00 FTTTTT,SouthWest,R
137000,Fri 00:00 02:00 FTTTTT,SouthWest,R
138000,Tue 00:00 02:00 FTTTTT,NorthEast,L
138000,Thu 00:00 02:00 FTTTTT,NorthEast,L
138000,Mon 00:00 02:00 FTTTTT,SouthWest,R
138000,Wed 00:00 02:00 FTTTTT,SouthWest,R
138000,Fri 00:00 02:00 FTTTTT,SouthWest,R
139000,Tue 00:00 02:00 FTTTTT,NorthEast,L
139000,Thu 00:00 02:00 FTTTTT,NorthEast,L
139000,Mon 00:00 02:00 FTTTTT,SouthWest,R
139000,Wed 00:00 02:00 FTTTTT,SouthWest,R
139000,Fri 00:00 02:00 FTTTTT,SouthWest,R
140000,Tue 00:00 02:00 FTTTTT,NorthEast,L
140000,Thu 00:00 02:00 FTTTTT,NorthEast,L
140000,Mon 00:00 02:00 FTTTTT,SouthWest,R
140000,Wed 00:00 02:00 FTTTTT,SouthWest,R
140000,Fri 00:00 02:00 FTTTTT,SouthWest,R
